X,Y,objectid,businessunit_name,businessunit_number,businessunit_banner_description,businessunit_type_description,businessunit_isstoreopen,facilitydetails_location_locati,facilitydetails_location_loca_1,facilitydetails_location_loca_2,facilitydetails_location_loca_3,facilitydetails_location_loca_8,businessunit_status_code,op_status,Modified_Operating_Hours_,Pharmacy_open_to_public_,Fuel_Station_open_to_public_,bu_num,Grocery_delivery_service,Grocery_delivery_status,Online_grocery_pickup,Online_grocery_pickup_status
-84.086931,36.169712,20782,"CLINTON, TN",4635,WM Supercenter,Retail,1,150 TANNER LN,CLINTON,ANDERSON,TN,37716-6682,2,Open,,Y,Y,4635,No,Available,Yes,Available
-78.841242,37.366026,20783,"APPOMATTOX, VA",4636,WM Supercenter,Retail,1,505 OAKVILLE RD,APPOMATTOX,APPOMATTOX,VA,24522-8361,2,Open,,Y,Y,4636,No,,Yes,
-95.742046,36.067103,20784,"BROKEN ARROW E., OK",4637,WM Supercenter,Retail,1,3900 E HILLSIDE DR,BROKEN ARROW,WAGONER,OK,74014-6713,2,Open,,Y,Y,4637,No,Available,No,Available
-78.372899,38.235827,20785,"RUCKERSVILLE, VA",4638,WM Supercenter,Retail,1,135 STONERIDGE DR,RUCKERSVILLE,GREENE,VA,22968-3088,2,Open,,Y,Y,4638,No,Available,Yes,Available
-104.623541,39.360452,20786,"ELIZABETH, CO",4639,WM Supercenter,Retail,1,2100 LEGACY CIR,ELIZABETH,ELBERT,CO,80107-8331,2,Open,,Y,Y,4639,No,Not Available,No,Not Available
-97.633311,27.853789,20787,CORPUS CHRISTI TX,464,WM Supercenter,Retail,1,3829 US HIGHWAY 77,CORPUS CHRISTI,NUECES,TX,78410-4525,5,Open,,Y,Y,464,No,Available,No,Available
-88.428895,42.151522,20789,"HUNTLEY, IL",4641,WM Supercenter,Retail,1,12300 ROUTE 47,HUNTLEY,KANE,IL,60142-9634,2,Open,,Y,Y,4641,No,Available,No,Available
-80.226573,40.658211,20791,"ECONOMY, PA",4643,WM Supercenter,Retail,1,1500 ECONOMY WAY,ECONOMY,BEAVER,PA,15005-0000,2,Open,,Y,Y,4643,No,Available,No,Available
-80.224153,40.515671,20792,"MOON TOWNSHIP, PA",4644,WM Supercenter,Retail,1,7500 UNIVERSITY BOULEVARD,MOON TOWNSHIP,ALLEGHENY,PA,15108-2532,2,Open,,Y,Y,4644,No,Not Available,No,Not Available
-88.194902,30.678101,20796,"MOBILE, AL",4648,Neighborhood Market,Retail,1,6575 AIRPORT BLVD,MOBILE,MOBILE,AL,36608-0000,2,Open,,Y,Y,4648,No,,No,
-98.179983,29.162266,20798,FLORESVILLE TX,465,WM Supercenter,Retail,1,305 10TH STREET,FLORESVILLE,WILSON,TX,78114-3126,5,Open,,Y,Y,465,No,,No,Available
-104.761911,41.126278,20802,"CHEYENNE (S), WY",4653,WM Supercenter,Retail,1,580 LIVINGSTON AVENUE,CHEYENNE,LARAMIE,WY,82007-0000,2,Open,,Y,Y,4653,No,Available,No,Available
-90.182488,35.197986,20803,MARION AR,4654,Neighborhood Market,Retail,1,2100 HIGHWAY 77,MARION,CRITTENDEN,AR,72364-0000,2,Open,,Y,Y,4654,No,,Yes,Available
-95.775793,36.076186,20804,BROKEN ARROW ALBANY OK,4655,Neighborhood Market,Retail,1,1300 EAST ALBANY STREET,BROKEN ARROW,TULSA,OK,74012-0000,2,Open,,Y,Y,4655,No,,Yes,Available
-88.189305,30.641503,20806,"MOBILE (HILLCREST), AL",4657,Neighborhood Market,Retail,1,6350 COTTAGE HILL RD,MOBILE,MOBILE,AL,36609-3111,2,Open,,Y,Y,4657,No,,No,
-91.160018,30.395741,20808,"BATON ROUGE (LEE), LA",4659,Neighborhood Market,Retail,1,5255 HIGHLAND RD,BATON ROUGE,EAST BATON ROUGE,LA,70808-6547,2,Open,,Y,Y,4659,No,,No,Available
-89.024485,35.279965,20809,BOLIVAR TN,466,WM Supercenter,Retail,1,1604 W MARKET ST,BOLIVAR,HARDEMAN,TN,38008-1536,5,Open,,Y,Y,466,No,,No,
-82.937528,42.626177,20810,"CLINTON TOWNSHIP, MI",4660,WM Supercenter,Retail,1,18400 HALL RD,CLINTON TOWNSHIP,MACOMB,MI,48038-4875,2,Open,,Y,Y,4660,No,Not Available,Yes,Not Available
-78.989089,33.777583,20814,"CONWAY, SC",4664,WM Supercenter,Retail,1,151 MYRTLE RIDGE DR,CONWAY,HORRY,SC,29526-2702,2,Open,,Y,Y,4664,No,Available,Yes,Available
-82.773763,27.987043,20817,"CLEARWATER (HIGHLAND), FL",4667,Neighborhood Market,Retail,1,1803 N HIGHLAND AVE,CLEARWATER,PINELLAS,FL,33755-2100,2,Open,,Y,Y,4667,No,,No,
-82.682192,27.834486,20819,"PINELLAS PARK (BOWL), FL",4669,Neighborhood Market,Retail,1,6900 US HIGHWAY 19 N,PINELLAS PARK,PINELLAS,FL,33781-6246,2,Open,,Y,Y,4669,No,,No,
-97.093592,33.191248,20820,DENTON TX,467,WM Supercenter,Retail,1,1515 S LOOP 288,DENTON,DENTON,TX,76205-4729,5,Open,,Y,Y,467,No,,No,Available
-85.220059,35.042646,20822,CHATTANOOGA TN,4671,Neighborhood Market,Retail,1,4110 SHALLOWFORD RD,CHATTANOOGA,HAMILTON,TN,37411-0000,2,Open,,Y,Y,4671,No,,No,Available
-86.266962,32.402505,20823,MONTGOMERY FEDERAL AL,4672,Neighborhood Market,Retail,1,1600 FEDERAL DRIVE,MONTGOMERY,MONTGOMERY,AL,36109-0000,2,Open,,Y,Y,4672,No,Available,No,Available
-85.495521,32.630421,20824,AUBURN N AL,4673,Neighborhood Market,Retail,1,1810 SHUG JORDAN PARKWAY,AUBURN,LEE,AL,36832-0000,2,Open,,Y,Y,4673,No,Not Available,No,Not Available
-94.638394,31.611448,20825,NACOGDOCHES UNIVERSITY TX,4674,Neighborhood Market,Retail,1,1030 N UNIVERSITY DR,NACOGDOCHES,NACOGDOCHES,TX,75961-4208,2,Open,,Y,Y,4674,No,,No,Available
-106.727991,35.103086,20827,ALBUQUERQUE LADERA NM,4676,Neighborhood Market,Retail,1,1820 UNSER BOULEVARD NW,ALBUQUERQUE,BERNALILLO,NM,87120-0000,2,Open,,Y,Y,4676,No,,No,Available
-88.110317,42.926573,20828,"MUSKEGO, WI",4677,WM Supercenter,Retail,1,W159S6530 MOORLAND RD,MUSKEGO,WAUKESHA,WI,53150-7515,2,Open,,Y,Y,4677,No,Available,Yes,Available
-113.364659,37.172646,20829,"HURRICANE, UT",4678,WM Supercenter,Retail,1,180 N 3400 W,HURRICANE,WASHINGTON,UT,84737-3031,2,Open,,Y,Y,4678,No,,No,Available
-90.958761,30.561997,20830,"WATSON, LA",4679,WM Supercenter,Retail,1,34025 LA HIGHWAY 16,DENHAM SPRINGS,LIVINGSTON,LA,70706-0000,2,Open,,Y,Y,4679,No,Available,No,Available
-94.039799,33.462185,20831,TEXARKANA AR,468,WM Supercenter,Retail,1,133 ARKANSAS BLVD,TEXARKANA,MILLER,AR,71854-1963,5,Open,,Y,Y,468,No,Not Available,Yes,Not Available
-82.516223,27.891219,20833,"TAMPA (GANDY), FL",4681,WM Supercenter,Retail,1,4302 W GANDY BLVD,TAMPA,HILLSBOROUGH,FL,33611-3406,2,Open,,Y,Y,4681,No,,No,Not Available
-78.209147,37.977441,20834,"GORDONSVILLE, VA",4682,WM Supercenter,Retail,1,164 CAMP CREEK PKWY,GORDONSVILLE,LOUISA,VA,22942-6878,2,Open,,Y,Y,4682,No,,No,Available
-91.109863,30.351932,20835,"BATON ROUGE (BURB), LA",4683,WM Supercenter,Retail,1,10550 BURBANK DR,BATON ROUGE,EAST BATON ROUGE,LA,70810-6468,2,Open,,Y,Y,4683,No,Available,No,Available
-94.223909,36.337252,20838,"BENTONVILLE (RAINBOW), AR",4686,Neighborhood Market,Retail,1,906 SW REGIONAL AIRPORT BLVD,BENTONVILLE,BENTON,AR,72712-7364,2,Open,,Y,Y,4686,No,,Yes,Available
-75.398587,40.083514,20839,KING OF PRUSSIA (HD) PA,4687,WM Supercenter,Retail,1,275 N GULPH RD,KING OF PRUSSIA,BERKS,PA,19406-2803,2,Open,,Y,Y,4687,Yes,Available,Yes,Available
-111.770421,40.416594,20841,"CEDAR HILLS, UT",4689,WM Supercenter,Retail,1,4689 W CEDAR HILLS DR,CEDAR HILLS,UTAH,UT,84062-8093,2,Open,,Y,Y,4689,No,,No,Available
-93.176361,30.195553,20842,LAKE CHARLES LA,469,WM Supercenter,Retail,1,3415 GERSTNER MEMORIAL BLVD,LAKE CHARLES,CALCASIEU,LA,70607-2147,5,Open,,Y,Y,469,Yes,Available,Yes,Available
-82.677643,27.772752,20843,"ST. PETERSBURG (C), FL",4690,WM Supercenter,Retail,1,201 34TH ST N,ST PETERSBURG,PINELLAS,FL,33713-8552,2,Open,,Y,Y,4690,No,Available,No,Available
-86.175231,32.340452,20844,MONTGOMERY VAUGHN AL,4691,Neighborhood Market,Retail,1,8035 VAUGHN ROAD,MONTGOMERY,MONTGOMERY,AL,36116-0000,2,Open,,Y,Y,4691,No,,No,
-85.245891,34.995923,20845,CHATTANOOGA TN,4692,Neighborhood Market,Retail,1,4150 RINGGOLD ROAD,EAST RIDGE,HAMILTON,TN,37412-0000,2,Open,,Y,Y,4692,No,Available,No,Available
-90.196267,38.964634,20848,"GODFREY, IL",4695,WM Supercenter,Retail,1,6660 GODFREY RD,GODFREY,MADISON,IL,62035-2219,2,Open,,Y,Y,4695,No,Available,No,Available
-111.417519,40.493737,20849,"HEBER CITY, UT",4696,WM Supercenter,Retail,1,1274 S US 189,HEBER CITY,WASATCH,UT,84032-5512,2,Open,,Y,Y,4696,No,,No,Available
-79.209474,37.410758,20850,"LYNCHBURG (N), VA",4697,WM Supercenter,Retail,1,3227 OLD FOREST RD,LYNCHBURG,LYNCHBURG CITY,VA,24501-2325,2,Open,,Y,Y,4697,No,Available,Yes,Available
-88.833006,41.151649,20852,"STREATOR, IL",4699,WM Supercenter,Retail,1,2415 N BLOOMINGTON ST,STREATOR,LA SALLE,IL,61364-1305,2,Open,,Y,Y,4699,No,,No,
-94.801812,35.451011,20853,SALLISAW OK,47,WM Supercenter,Retail,1,1101 W RUTH AVE,SALLISAW,SEQUOYAH,OK,74955-7252,5,Open,,Y,Y,47,No,,Yes,Not Available
-97.438892,27.738022,20854,CORPUS CHRISTI TX,470,WM Supercenter,Retail,1,1821 S PADRE ISLAND DR,CORPUS CHRISTI,NUECES,TX,78416-1398,5,Open,,Y,Y,470,No,,Yes,Available
-111.765177,40.367453,20855,PLEASANT GROVE UT,4700,Neighborhood Market,Retail,1,1707 WEST STATE STREET,PLEASANT GROVE,UTAH,UT,84062-0000,2,Open,,Y,Y,4700,No,,No,
-95.156727,29.550006,20856,"FRIENDSWOOD, TX",4702,Sam's Club,Wholesale,1,155 W EL DORADO BLVD,FRIENDSWOOD,HARRIS,TX,77546-6502,2,Open,,Y,Y,4702,,,Yes,
-106.657313,35.210383,20857,"ALBUQUERQUE, NM",4703,Sam's Club,Wholesale,1,10600 COORS BLVD BYPASS NW,ALBUQUERQUE,BERNALILLO,NM,87114-3930,2,Open,,Y,Y,4703,,,Yes,
-119.794094,36.848661,20858,"FRESNO, CA",4704,Sam's Club,Wholesale,1,7663 N BLACKSTONE AVE,FRESNO,FRESNO,CA,93720-4306,2,Open,,Y,Y,4704,,,Yes,
-112.090019,40.694921,20859,MAGNA UT,4706,Neighborhood Market,Retail,1,3555 S. 8400 W.,MAGNA,SALT LAKE,UT,84044-0000,2,Open,,Y,Y,4706,No,,No,
-94.683158,38.886323,20860,"OVERLAND PARK, KS",4707,Sam's Club,Wholesale,1,8300 W 135TH ST,OVERLAND PARK,JOHNSON,KS,66223-1143,2,Open,,Y,Y,4707,,,,
-117.536996,33.846821,20862,"CORONA, CA",4709,Sam's Club,Wholesale,1,1375 E ONTARIO AVE,CORONA,RIVERSIDE,CA,92881-6604,2,Open,,Y,Y,4709,,,Yes,
-96.819226,32.592134,20863,"LANCASTER, TX",471,WM Supercenter,Retail,1,150 N INTERSTATE 35 E,LANCASTER,DALLAS,TX,75146-1844,5,Open,,Y,Y,471,No,Available,No,Available
-76.416846,36.831291,20864,"CHESAPEAKE, VA",4710,Sam's Club,Wholesale,1,2444 CHESAPEAKE SQUARE RING RD,CHESAPEAKE,CHESAPEAKE CITY,VA,23321-2173,2,Open,,Y,Y,4710,,,Yes,
-76.088576,36.840007,20865,"VIRGINIA BEACH, VA",4711,Sam's Club,Wholesale,1,3345 VIRGINIA BEACH BLVD,VIRGINIA BEACH,VIRGINIA BEACH CITY,VA,23452-5616,2,Open,,Y,Y,4711,Yes,Available,Yes,Available
-95.555002,29.788157,20866,"HOUSTON(MEM), TX",4712,Sam's Club,Wholesale,1,10488 KATY FWY,HOUSTON,HARRIS,TX,77043-5106,2,Open,,Y,Y,4712,,,Yes,Not Available
-95.449821,30.187528,20867,"SHENANDOAH, TX",4713,Sam's Club,Wholesale,1,19091 INTERSTATE 45 S,SHENANDOAH,MONTGOMERY,TX,77385-8748,2,Open,,Y,Y,4713,No,Available,Yes,Available
-111.901269,40.547292,20871,"SOUTH JORDAN, UT",4718,Sam's Club,Wholesale,1,11278 S JORDAN GTWY,SOUTH JORDAN,SALT LAKE,UT,84095-4111,2,Open,,Y,Y,4718,,,,
-95.817697,36.058138,20873,"BROKEN ARROW, OK",472,WM Supercenter,Retail,1,2301 W KENOSHA ST,BROKEN ARROW,TULSA,OK,74012-8912,5,Open,,Y,Y,472,No,Available,Yes,Available
-97.819706,30.235785,20874,"AUSTIN, TX",4720,Sam's Club,Wholesale,1,4970 W HIGHWAY 290,AUSTIN,TRAVIS,TX,78735-6748,2,Open,,Y,Y,4720,,,Yes,
-95.547945,29.963478,20875,"HOUSTON (W'BROOK), TX",4721,Sam's Club,Wholesale,1,7950 FM 1960 W,HOUSTON,HARRIS,TX,77070-5708,2,Open,,Y,Y,4721,Yes,Available,Yes,Available
-75.020053,39.720303,20876,"WILLIAMSTOWN, NJ",4722,Sam's Club,Wholesale,1,2080 NO. BLACKHORSE PIKE,WILLIAMSTOWN,GLOUCESTER,NJ,08094-9128,2,Open,,Y,Y,4722,,,,
-86.808656,33.373619,20878,"HOOVER, AL",4724,Sam's Club,Wholesale,1,3053 JOHN HAWKINS PKWY,HOOVER,JEFFERSON,AL,35244-1028,2,Open,,Y,Y,4724,,,,
-84.551651,37.939267,20882,NICHOLASVILLE KY,4728,Sam's Club,Wholesale,1,103 BRYANT DRIVE,NICHOLASVILLE,JESSAMINE,KY,40356-9225,2,Open,,Y,Y,4728,,,,
-77.426775,39.022807,20883,"STERLING, VA",4729,Sam's Club,Wholesale,1,45425 DULLES CROSSING PLZ,STERLING,LOUDOUN,VA,20166-8921,2,Open,,Y,Y,4729,,,,
-96.915644,30.177718,20884,GIDDINGS TX,473,Wal-Mart,Retail,1,US HWY 290/2374 E AU,GIDDINGS,LEE,TX,78942-3644,2,Open,,Y,Y,473,No,,No,
-111.977908,40.613503,20885,"WEST JORDAN, UT",4730,Sam's Club,Wholesale,1,7571 S 3800 W,WEST JORDAN,SALT LAKE,UT,84084-4319,2,Open,,Y,Y,4730,,,,
-97.650319,35.559931,20886,"OK CITY(NW),OK",4731,Sam's Club,Wholesale,1,9000 NW PASSAGE,OKLAHOMA CITY,OKLAHOMA,OK,73132-3414,2,Open,,Y,Y,4731,,,,
-112.234399,33.648921,20887,"GLENDALE, AZ",4732,Sam's Club,Wholesale,1,18501 N 83RD AVE,GLENDALE,MARICOPA,AZ,85308-0501,2,Open,,Y,Y,4732,,,,
-105.103991,39.800682,20889,ARVADA E CO,4734,WM Supercenter,Retail,1,9400 RALSTON ROAD,ARVADA,JEFFERSON,CO,80002-0000,2,Open,,Y,Y,4734,No,,Yes,
-117.969958,33.912841,20890,"LA HABRA, CA",4735,Sam's Club,Wholesale,1,1390 S BEACH BLVD,LA HABRA,ORANGE,CA,90631-6374,2,Open,,Y,Y,4735,,,,
-93.201014,44.734959,20891,"APPLE VALLEY, MN",4736,Sam's Club,Wholesale,1,14940 FLORENCE TRL,APPLE VALLEY,DAKOTA,MN,55124-4628,2,Open,,Y,Y,4736,,Not Available,Yes,Not Available
-93.152916,44.845053,20893,"EAGAN, MN",4738,Sam's Club,Wholesale,1,3035 DENMARK AVE,EAGAN,DAKOTA,MN,55121-2257,2,Open,,Y,Y,4738,,,Yes,
-84.007892,33.889021,20894,"SNELLVILLE, GA",4739,Sam's Club,Wholesale,1,1520 SCENIC HWY N,SNELLVILLE,GWINNETT,GA,30078-2130,2,Open,,Y,Y,4739,Yes,Available,Yes,Available
-89.981972,34.959711,20896,"SOUTHAVEN, MS",4740,Sam's Club,Wholesale,1,465 GOODMAN RD E,SOUTHAVEN,DESOTO,MS,38671-9525,2,Open,,Y,Y,4740,,,Yes,
-90.396827,38.565421,20897,"SAINT LOUIS, MO",4741,Sam's Club,Wholesale,1,10248 BIG BEND RD,SAINT LOUIS,ST. LOUIS,MO,63122-6426,2,Open,,Y,Y,4741,,,,
-97.414109,32.688226,20898,"FORT WORTH, TX",4742,Sam's Club,Wholesale,1,4400 BRYANT IRVIN RD,FORT WORTH,TARRANT,TX,76132-1064,2,Open,,Y,Y,4742,,,Yes,
-96.691858,33.055579,20899,"PLANO (E), TX",4743,Sam's Club,Wholesale,1,1200 E SPRING CREEK PKWY,PLANO,COLLIN,TX,75074-3023,2,Open,,Y,Y,4743,,,Yes,
-104.983598,39.871655,20901,"THORNTON, CO",4745,Sam's Club,Wholesale,1,9601 GRANT ST,THORNTON,ADAMS,CO,80229-2155,2,Open,,Y,Y,4745,,,Yes,
-104.979181,39.891602,20903,NORTHGLENN WASHINGTON CO,4747,Neighborhood Market,Retail,1,10755 WASHINGTON STREET,NORTHGLENN,ADAMS,CO,80233-0000,2,Open,,Y,Y,4747,No,,No,Available
-92.414899,35.063272,20905,CONWAY AR,4749,Sam's Club,Wholesale,1,1250 SOUTH AMITY RD,CONWAY,FAULKNER,AR,72032-0000,2,Open,,Y,Y,4749,No,Available,No,Available
-97.669803,30.483134,20906,ROUND ROCK TX,475,WM Supercenter,Retail,1,2701 S INTERSTATE 35,ROUND ROCK,WILLIAMSON,TX,78664-7320,5,Open,,Y,Y,475,No,Available,Yes,Available
-81.469064,41.118045,20907,"CUYAHOGA FALLS, OH",4750,Sam's Club,Wholesale,1,1189 BUCHHOLZER BLVD,CUYAHOGA FALLS,SUMMIT,OH,44221-5145,2,Open,,Y,Y,4750,Yes,Available,Yes,Available
-94.183011,36.107667,20911,"FAYETTEVILLE (LIQUB), AR",4754,Sam's Club,Wholesale,1,3075 N HIGHWAY 112,FAYETTEVILLE,WASHINGTON,AR,72704-7436,2,Open,,Y,Y,4754,,,,
-157.842705,21.294703,20912,"HONOLULU, HI",4755,Sam's Club,Wholesale,1,750 KEEAUMOKU ST,HONOLULU,HONOLULU,HI,96814-3014,2,Open,,Y,Y,4755,,,Yes,
-86.829994,33.212135,20913,ALABASTER AL,4756,Neighborhood Market,Retail,1,9085 HWY 119,ALABASTER,SHELBY,AL,35007-0000,2,Open,,Y,Y,4756,No,Not Available,No,Not Available
-122.818757,46.997206,20914,LACEY S WA,4757,Neighborhood Market,Retail,1,5110 YELM HIGHWAY,LACEY,THURSTON,WA,98503-0000,2,Open,,Y,Y,4757,No,Available,No,Available
-121.273287,38.675699,20916,CITRUS HEIGHTS CA,4759,Neighborhood Market,Retail,1,6197 SUNRISE BLVD,CITRUS HEIGHTS,SACRAMENTO,CA,95610-0000,2,Open,,Y,Y,4759,No,,No,Available
-97.712921,31.425342,20917,GATESVILLE TX,476,WM Supercenter,Retail,1,2805 S STATE HIGHWAY 36,GATESVILLE,CORYELL,TX,76528-2738,5,Open,,Y,Y,476,No,,Yes,
-97.492913,35.216366,20919,"NORMAN, OK",4761,Sam's Club,Wholesale,1,3400 W MAIN ST,NORMAN,CLEVELAND,OK,73072-4808,2,Open,,Y,Y,4761,No,Not Available,Yes,Not Available
-117.809303,34.001125,20920,DIAMOND BAR CA,4762,Neighborhood Market,Retail,1,1180 SOUTH DIAMOND BAR BLVD.,DIAMOND BAR,LOS ANGELES,CA,91765-0000,2,Open,,Y,Y,4762,No,,No,Available
-95.642871,29.612537,20921,"SUGAR LAND, TX",4763,Sam's Club,Wholesale,1,351 HIGHWAY # 6,SUGAR LAND,FORT BEND,TX,77478-4933,2,Open,,Y,Y,4763,,,Yes,
-95.725977,29.787341,20922,"KATY (FRY), TX",4764,Sam's Club,Wholesale,1,20424 KATY FWY,KATY,HARRIS,TX,77449-7636,2,Open,,Y,Y,4764,,,,
-118.144537,34.608504,20925,"PALMDALE, CA",4767,Sam's Club,Wholesale,1,39940 10TH ST W,PALMDALE,LOS ANGELES,CA,93551-3002,2,Open,,Y,Y,4767,,,,
-119.798514,39.482033,20926,"RENO, NV",4768,Sam's Club,Wholesale,1,4835 KIETZKE LN,RENO,WASHOE,NV,89509-6549,2,Open,,Y,Y,4768,,,,Not Available
